S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.08365,0.12135,0.19885,0.22355,0.22675,0.232589,0.352998,0.325374,0.24605,2019,1,0.093768
0.0299,0.0347,0.0287,0.0264,0.021,0.069349,0.237181,0.232286,0.148398,2019,1,0.076605
0.0532,0.0509,0.0462,0.0451,0.0413,0.010375,0.011393,0.020041,0.019519,2019,1,0.19144
0.192,0.2301,0.27625,0.2972,0.3114,0.097743,0.263031,0.238226,0.164375,2019,1,0.114334
0.0981,0.1375,0.20955,0.23535,0.2509,0.29929,0.449921,0.420606,0.318829,2019,1,0.072814
0.098,0.1389,0.20475,0.2295,0.23615,0.023094,0.041711,0.065705,0.063918,2019,1,0.104094
0.11415,0.15535,0.22275,0.24105,0.2438,0.415821,0.526371,0.423411,0.325594,2019,1,0.144605
0.133,0.132,0.1292,0.13,0.1344,0.088448,0.193511,0.180463,0.127869,2019,1,0.112899
0.03885,0.0965,0.2094,0.24565,0.2683,0.003995,0.003335,0.01175,0.010664,2019,1,0.195374
0.1446,0.1803,0.2282,0.2517,0.2603,0.06631,0.186774,0.167455,0.106102,2019,1,0.115722
0.03875,0.0355,0.03345,0.033,0.0301,0.170714,0.275888,0.337666,0.273963,2019,1,0.253176
0.0424,0.03795,0.03445,0.0327,0.0306,0.42502,0.519758,0.425336,0.32217,2019,1,0.108306
0.1277,0.1667,0.2179,0.2378,0.2492,0.002153,0.001217,0.01098,0.009852,2019,1,0.107574
0.1253,0.1541,0.17435,0.19075,0.2068,0.097413,0.228794,0.194749,0.135981,2019,1,0.166253
0.0382,0.0348,0.033,0.0325,0.0297,0.023671,0.046744,0.075852,0.073157,2019,1,0.096975
0.03735,0.0378,0.0329,0.0308,0.0272,0.076636,0.223583,0.183089,0.113569,2019,1,0.113048
0.0958,0.1252,0.1744,0.1942,0.2027,0.004518,0.002263,0.015077,0.01208,2019,1,0.154758
0.0992,0.1377,0.196,0.21635,0.2269,-0.00826,-0.00468,0.009577,0.009289,2019,1,0.11387
0.1725,0.2042,0.2364,0.2564,0.2697,0.142966,0.3302,0.237539,0.158545,2019,1,0.228352
0.0559,0.0535,0.048,0.0445,0.0411,-0.00041,0.01395,0.033255,0.02627,2019,1,0.100916
0.1143,0.1407,0.1927,0.2092,0.2109,0.055695,0.24242,0.203865,0.119674,2019,1,0.12195
0.046,0.0978,0.1903,0.2175,0.2355,0.436433,0.591285,0.441864,0.308681,2019,1,0.091586
0.0698,0.067,0.0579,0.0561,0.0495,0.127209,0.277703,0.325759,0.239574,2019,1,0.122322
0.09905,0.1355,0.1963,0.2226,0.23435,0.394564,0.419493,0.417073,0.359075,2019,1,0.166479
0.0485,0.0867,0.1819,0.21145,0.2246,0.000557,-0.00072,0.006305,0.006002,2019,1,0.330539
0.16035,0.1919,0.2241,0.246,0.26195,0.13231,0.251935,0.280549,0.209049,2019,1,0.111304
0.041,0.0372,0.0343,0.0331,0.03045,0.124005,0.247563,0.292745,0.220393,2019,1,0.126474
0.0874,0.107,0.1329,0.139,0.1396,0.064646,0.203356,0.193498,0.128281,2019,1,0.086552
0.1145,0.152,0.1957,0.2187,0.2323,0.065499,0.229289,0.211895,0.136353,2019,1,0.106938
0.1336,0.174,0.21365,0.23395,0.24825,0.139556,0.22614,0.258301,0.20865,2019,1,0.170079
0.0451,0.042,0.038,0.0354,0.033,0.070022,0.204415,0.226621,0.151505,2019,1,0.195596
0.037,0.0333,0.03045,0.0291,0.0277,0.04112,0.061786,0.079097,0.067657,2019,1,0.146166
0.04,0.038,0.034,0.0338,0.031,0.043292,0.243053,0.1729,0.088681,2019,1,0.208638
0.0513,0.0484,0.046,0.0462,0.0447,0.002345,0.000929,0.007831,0.007185,2019,1,0.217008
0.1424,0.1775,0.2207,0.237,0.2519,0.149388,0.267651,0.318127,0.236947,2019,1,0.092118
0.0843,0.1213,0.1794,0.1991,0.2104,0.086165,0.250175,0.248607,0.165846,2019,1,0.112882
0.0968,0.1283,0.1641,0.1802,0.1901,0.169765,0.260653,0.333019,0.276534,2019,1,0.086512
0.05645,0.09645,0.1738,0.1989,0.2067,0.009962,0.00713,0.012465,0.010925,2019,1,0.079194
0.14925,0.1912,0.23855,0.26225,0.27695,0.070435,0.179858,0.136985,0.095254,2019,1,0.136178
0.1307,0.1572,0.1839,0.1993,0.2118,0.045602,0.240069,0.168101,0.090744,2019,1,0.074548
0.0403,0.0396,0.03485,0.03245,0.02925,0.000241,-0.00025,0.009866,0.008972,2019,1,0.102075
0.1121,0.141,0.1806,0.2032,0.2112,0.095928,0.257834,0.256486,0.17598,2019,1,0.112213
0.05805,0.05925,0.05315,0.0514,0.04675,0.01582,0.017979,0.028594,0.026518,2019,1,0.050067
0.0674,0.1176,0.223,0.2547,0.2658,0.00031,-0.00173,0.006552,0.00614,2019,1,0.174669
0.1395,0.17485,0.1945,0.21515,0.23145,0.024592,0.23197,0.127346,0.056176,2019,1,0.101725
0.1624,0.1947,0.2277,0.2447,0.2599,-0.00134,-0.00249,0.007185,0.006772,2019,1,0.101669
0.0476,0.087,0.1708,0.1989,0.2171,0.012575,0.008752,0.010898,0.008752,2019,1,0.219043
0.0323,0.0291,0.0271,0.0276,0.0257,0.144163,0.259704,0.354249,0.270195,2019,1,0.116008
