S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.13045,0.15895,0.20795,0.22095,0.23295,0.054114,0.140285,0.123304,0.095652,2019,1,0.10714
0.12545,0.16395,0.24365,0.26595,0.27865,0.031481,0.212445,0.109004,0.050167,2019,1,0.145551
0.05165,0.09895,0.208,0.2433,0.26045,0.085904,0.234404,0.147476,0.092944,2019,1,0.096628
0.1077,0.11715,0.0991,0.09795,0.0897,0.112758,0.230884,0.244345,0.175073,2019,1,0.126403
0.0486,0.0857,0.1711,0.2014,0.2162,0.056355,0.298204,0.159879,0.092215,2019,1,0.176406
0.1135,0.14395,0.19825,0.21395,0.2234,0.293185,0.457772,0.297393,0.237896,2019,1,0.165682
0.077,0.1131,0.1672,0.1893,0.2067,0.053564,0.264448,0.158077,0.09546,2019,1,0.148884
0.1289,0.1498,0.1901,0.2045,0.2117,0.011571,0.117419,0.053564,0.025005,2019,1,0.106597
0.09295,0.12435,0.20135,0.21555,0.22515,0.265726,0.367146,0.308104,0.265685,2019,1,0.147121
0.10735,0.1415,0.1917,0.2096,0.22065,0.104411,0.232933,0.237979,0.164183,2019,1,0.1473
0.0288,0.0603,0.1524,0.1821,0.1933,0.232493,0.355555,0.327491,0.250189,2019,1,0.109377
0.0975,0.1283,0.194,0.21795,0.23225,0.078836,0.27179,0.180174,0.122149,2019,1,0.145229
0.11875,0.15325,0.2416,0.2687,0.2772,0.254534,0.361179,0.327766,0.280783,2019,1,0.164664
0.06165,0.10265,0.17475,0.1995,0.21855,0.445178,0.516664,0.308214,0.222758,2019,1,0.140971
0.13575,0.16785,0.22375,0.2444,0.25165,0.319942,0.423521,0.374778,0.3049,2019,1,0.139803
0.1266,0.1544,0.2151,0.2356,0.2419,0.121159,0.275516,0.20623,0.158779,2019,1,0.111728
0.1111,0.14455,0.2333,0.2575,0.26495,0.084817,0.226608,0.178483,0.114476,2019,1,0.13064
0.0517,0.0878,0.1524,0.1731,0.1887,0.042165,0.280081,0.13792,0.072058,2019,1,0.102713
0.12055,0.13255,0.10865,0.10545,0.09705,0.379081,0.480529,0.340485,0.273069,2019,1,0.147788
0.086,0.1213,0.1922,0.2151,0.2343,0.102775,0.25419,0.240825,0.171869,2019,1,0.141466
0.1165,0.15415,0.2062,0.2255,0.2388,0.133465,0.24616,0.283505,0.224215,2019,1,0.112278
0.09545,0.13145,0.25535,0.29555,0.306,0.079593,0.225714,0.174633,0.116539,2019,1,0.103966
0.1112,0.1419,0.1876,0.2039,0.2167,0.272986,0.450127,0.320176,0.263898,2019,1,0.1085
0.02605,0.0753,0.19245,0.231,0.2445,0.036844,0.253558,0.143612,0.070146,2019,1,0.15668
0.1403,0.1749,0.2124,0.2352,0.2495,0.123689,0.256995,0.205584,0.14188,2019,1,0.111076
0.1149,0.1504,0.2234,0.245,0.2523,0.069033,0.254369,0.161268,0.105992,2019,1,0.101714
0.1157,0.1499,0.2013,0.2199,0.2269,0.343001,0.412714,0.35055,0.265369,2019,1,0.12208
0.1224,0.1478,0.2004,0.2156,0.22445,0.109306,0.236067,0.261753,0.196646,2019,1,0.083
0.12165,0.15565,0.2058,0.22685,0.2372,0.069858,0.292869,0.157445,0.094745,2019,1,0.138218
0.1283,0.1553,0.19795,0.2139,0.2253,0.17477,0.2895,0.308901,0.231778,2019,1,0.153678
0.13375,0.1554,0.199,0.21305,0.22365,0.067809,0.233922,0.166561,0.110557,2019,1,0.152918
0.1063,0.1461,0.2349,0.2571,0.2647,0.308282,0.415093,0.352447,0.296953,2019,1,0.1265
0.14585,0.1749,0.21565,0.23315,0.24775,0.307705,0.394605,0.362788,0.290064,2019,1,0.140933
0.1168,0.1469,0.21595,0.23385,0.24115,0.136036,0.220214,0.266964,0.212981,2019,1,0.126444
0.12105,0.1399,0.17335,0.18475,0.19505,0.100685,0.235641,0.226608,0.159535,2019,1,0.225406
0.0904,0.13345,0.26295,0.29275,0.29915,0.073969,0.239794,0.143626,0.095529,2019,1,0.113847
0.0947,0.1379,0.188,0.206,0.2219,0.12054,0.182085,0.115466,0.08347,2019,1,0.087219
0.1145,0.147,0.2237,0.24735,0.2565,0.085794,0.210163,0.181714,0.124266,2019,1,0.134016
0.0547,0.08355,0.14465,0.16695,0.1869,0.118395,0.20964,0.19039,0.149236,2019,1,0.096628
0.0801,0.1122,0.1909,0.2198,0.23595,0.120031,0.230829,0.212913,0.163839,2019,1,0.13951
0.10645,0.13935,0.2114,0.23105,0.2407,0.079744,0.228065,0.180201,0.118945,2019,1,0.178461
0.1165,0.14795,0.18965,0.2081,0.22245,0.025142,0.147311,0.088695,0.044681,2019,1,0.12438
0.1167,0.14495,0.19475,0.2122,0.22205,0.119509,0.20986,0.206491,0.155836,2019,1,0.130995
0.1266,0.15445,0.2256,0.247,0.25045,0.056217,0.215965,0.190184,0.118766,2019,1,0.112582
0.1513,0.18,0.2115,0.2314,0.2494,0.098224,0.237979,0.225659,0.161804,2019,1,0.074054
0.09875,0.1349,0.24325,0.2739,0.28445,0.037903,0.200675,0.138209,0.077681,2019,1,0.16457
0.0284,0.06435,0.1564,0.1891,0.20575,0.087856,0.227322,0.200345,0.137315,2019,1,0.098658
0.10185,0.13755,0.219,0.23725,0.2492,0.095515,0.237869,0.160924,0.11405,2019,1,0.16055
0.1003,0.1415,0.2271,0.2477,0.257,0.038796,0.34142,0.121214,0.056726,2019,1,0.123627
0.18115,0.20425,0.22845,0.2379,0.24425,0.081201,0.238006,0.200125,0.136463,2019,1,0.110655
0.1322,0.15345,0.19615,0.2044,0.21045,0.097701,0.182869,0.194226,0.148288,2019,1,0.106863
0.0363,0.061,0.1099,0.1248,0.1351,0.418557,0.538416,0.385819,0.303786,2019,1,0.119397
0.1181,0.14945,0.21205,0.23175,0.24305,0.112221,0.206863,0.273976,0.233125,2019,1,0.139279
0.11235,0.14675,0.22865,0.2497,0.261,0.111066,0.248071,0.27124,0.199121,2019,1,0.081446
0.1301,0.14845,0.17565,0.18495,0.1925,0.025775,0.21448,0.11438,0.05311,2019,1,0.100347
0.09505,0.12235,0.1876,0.2038,0.2069,0.07588,0.265878,0.169903,0.112098,2019,1,0.122439
0.0888,0.12845,0.24985,0.28665,0.29795,0.100218,0.209104,0.196083,0.148508,2019,1,0.141392
0.11495,0.14055,0.18755,0.20345,0.2091,0.131182,0.210988,0.215085,0.189881,2019,1,0.101647
0.1229,0.1483,0.1934,0.2114,0.2226,0.34714,0.424855,0.209172,0.18797,2019,1,0.105268
0.14955,0.1663,0.1801,0.1862,0.193,0.055076,0.23912,0.121956,0.073006,2019,1,0.123705
0.11175,0.1483,0.22285,0.24225,0.2519,0.076746,0.270979,0.18346,0.1179,2019,1,0.156334
0.12365,0.1562,0.1994,0.21955,0.2405,0.190569,0.38421,0.267321,0.222716,2019,1,0.124811
0.12365,0.15515,0.20545,0.2232,0.23145,0.255936,0.346948,0.293089,0.231668,2019,1,0.172021
0.1075,0.1461,0.2276,0.2545,0.2704,0.154241,0.256899,0.237291,0.20172,2019,1,0.130429
0.11305,0.14215,0.1995,0.2161,0.22045,0.099214,0.20139,0.180641,0.134964,2019,1,0.16094
0.079,0.1164,0.1658,0.188,0.1975,0.088832,0.222043,0.18929,0.135528,2019,1,0.100487
0.1208,0.15585,0.2253,0.2478,0.26265,0.08886,0.177479,0.187379,0.138195,2019,1,0.157159
0.14035,0.16445,0.20335,0.21735,0.2241,0.076086,0.22471,0.186389,0.129079,2019,1,0.14233
0.106,0.139,0.1722,0.1896,0.2081,0.018089,0.21602,0.102775,0.045204,2019,1,0.160697
0.1063,0.1349,0.2028,0.2193,0.2238,0.507767,0.545662,0.327519,0.24396,2019,1,0.112381
0.1016,0.1364,0.24835,0.28245,0.29335,0.088489,0.234803,0.16102,0.110777,2019,1,0.099047
0.0803,0.1253,0.1992,0.2282,0.2421,0.095322,0.24209,0.246861,0.187269,2019,1,0.154319
0.10055,0.1392,0.2415,0.26195,0.27395,0.089245,0.075385,0.035428,0.024097,2019,1,0.152845
0.11945,0.15695,0.2465,0.26885,0.28025,0.056493,0.258494,0.154131,0.094814,2019,1,0.143622
0.13415,0.1595,0.1956,0.20725,0.21575,0.094209,0.214714,0.189936,0.13748,2019,1,0.124161
0.1179,0.14895,0.23295,0.2551,0.26625,0.114105,0.232561,0.210176,0.162876,2019,1,0.133271
0.1187,0.1462,0.1859,0.2047,0.215,0.074753,0.231764,0.187681,0.127223,2019,1,0.116692
0.10095,0.14055,0.2475,0.2771,0.28825,0.087801,0.256239,0.168211,0.107038,2019,1,0.110206
0.1303,0.163,0.2392,0.259,0.2722,0.066475,0.240014,0.147256,0.091816,2019,1,0.133633
0.1035,0.14265,0.24665,0.27725,0.2879,0.053963,0.231021,0.187997,0.117075,2019,1,0.090777
0.14165,0.1728,0.21255,0.22975,0.2441,0.398455,0.546886,0.33163,0.243396,2019,1,0.099307
0.11975,0.1545,0.20655,0.22575,0.2387,0.103985,0.221754,0.206326,0.14309,2019,1,0.147341
0.1438,0.17205,0.2357,0.2544,0.26135,0.10525,0.229289,0.264283,0.193745,2019,1,0.095444
0.1066,0.136,0.1856,0.20515,0.21845,0.450416,0.532298,0.384636,0.305684,2019,1,0.149326
0.15005,0.17915,0.21985,0.2414,0.2503,0.084543,0.241719,0.192686,0.138443,2019,1,0.100576
0.1075,0.1428,0.22335,0.25035,0.2692,0.061855,0.260048,0.171773,0.113335,2019,1,0.180959
0.1848,0.1996,0.212,0.2191,0.2238,0.084199,0.215731,0.18566,0.140299,2019,1,0.098603
0.0995,0.14015,0.2184,0.24115,0.2539,0.058404,0.281333,0.163041,0.103036,2019,1,0.153478
0.0429,0.0938,0.2056,0.2371,0.2457,0.018419,0.088984,0.052959,0.027975,2019,1,0.096905
0.17995,0.2094,0.241,0.2609,0.27735,0.091404,0.215979,0.176599,0.121434,2019,1,0.129697
0.1272,0.1663,0.2456,0.2792,0.2896,0.348941,0.447254,0.266331,0.197925,2019,1,0.096932
0.1314,0.1622,0.20385,0.22415,0.24515,0.051996,0.226566,0.14705,0.095694,2019,1,0.133961
0.10965,0.1377,0.2053,0.2235,0.23125,0.065251,0.21822,0.180408,0.110805,2019,1,0.12605
0.11165,0.1505,0.23935,0.2642,0.27305,0.071012,0.245252,0.154021,0.109623,2019,1,0.090035
0.091,0.1308,0.1997,0.2202,0.2382,0.101592,0.361756,0.237278,0.170384,2019,1,0.113609
0.0923,0.1281,0.2012,0.2233,0.241,0.075014,0.209145,0.186114,0.129216,2019,1,0.130485
0.28225,0.3068,0.31225,0.3225,0.3354,0.042082,0.218536,0.160085,0.086797,2019,1,0.144395
0.1214,0.1576,0.2329,0.254,0.2669,0.158655,0.272395,0.347415,0.276561,2019,1,0.164035
0.12705,0.1579,0.2015,0.2186,0.22715,0.08743,0.301724,0.204154,0.131224,2019,1,0.147121
