S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.02265,0.01855,0.01765,0.01835,0.0186,0.076471,0.317523,0.192343,0.124651,2019,1,0.021275
0.1243,0.1585,0.1911,0.2126,0.23,0.148865,0.219623,0.230554,0.187709,2019,1,0.088474
0.10085,0.14435,0.2375,0.27175,0.289,0.119605,0.105099,0.014679,0.011035,2019,1,0.07071
0.0915,0.1214,0.1624,0.1796,0.1916,0.041684,0.177589,0.103435,0.055929,2019,1,0.085968
0.27625,0.2989,0.3066,0.3167,0.3342,0.147738,0.217601,0.266606,0.216116,2019,1,0.039096
0.1168,0.1451,0.19845,0.21925,0.2366,0.105635,0.061346,0.009811,0.007543,2019,1,0.054334
0.1232,0.1426,0.1636,0.1783,0.1944,0.020632,-0.00362,0.008244,0.009344,2019,1,0.108524
0.0794,0.1172,0.2145,0.2431,0.2623,0.005906,-0.00137,0.004531,0.004958,2019,1,0.054532
0.13955,0.1731,0.21565,0.23845,0.26,0.08083,0.254383,0.177644,0.115796,2019,1,0.090927
0.1291,0.1603,0.1948,0.2181,0.2359,0.069651,0.26101,0.158655,0.103737,2019,1,0.057821
0.18265,0.2124,0.2344,0.2461,0.2618,0.097784,0.208939,0.190156,0.142952,2019,1,0.087689
0.1051,0.1062,0.06675,0.068,0.0623,0.144108,0.276534,0.263196,0.208664,2019,1,0.103019
0.0401,0.0285,0.0153,0.0146,0.0132,0.067493,-0.00314,0.007873,0.009894,2019,1,0.052714
0.1784,0.2052,0.2223,0.2269,0.232,0.142458,0.253228,0.249281,0.201885,2019,1,0.079977
0.1262,0.1412,0.1465,0.1538,0.1634,0.002551,-0.00089,0.003637,0.003912,2019,1,0.048338
0.1639,0.1857,0.2002,0.2116,0.2163,0.215662,0.252733,0.294395,0.262798,2019,1,0.019074
0.1141,0.1366,0.1685,0.1852,0.2037,0.135885,0.270278,0.284468,0.228189,2019,1,0.081992
0.09365,0.1482,0.3074,0.35075,0.3737,0.161158,0.235848,0.304323,0.239945,2019,1,0.16461
0.1222,0.15705,0.2165,0.2448,0.2687,0.145304,0.21976,0.255799,0.188919,2019,1,0.077693
0.0132,0.01545,0.0139,0.0132,0.0107,0.109513,0.176351,0.192274,0.159631,2019,1,0.069772
0.1431,0.1669,0.1928,0.21045,0.2289,0.093686,0.252664,0.194749,0.130041,2019,1,0.142806
0.1232,0.1491,0.1862,0.207,0.2285,0.105745,0.188011,0.240344,0.195271,2019,1,0.070339
0.0191,0.0184,0.0148,0.0146,0.0136,0.000585,-0.00178,0.003885,0.00383,2019,1,0.11379
0.1341,0.16975,0.23495,0.26215,0.2782,0.096436,0.237704,0.212486,0.167909,2019,1,0.10833
0.2006,0.2294,0.2489,0.2593,0.27065,0.115205,0.179115,0.199108,0.161309,2019,1,0.170868
0.107,0.1336,0.1705,0.1879,0.2088,0.102899,0.192576,0.21723,0.17334,2019,1,0.065383
0.0556,0.1008,0.2224,0.2622,0.2748,0.003197,0.002111,0.008038,0.008271,2019,1,0.161886
0.1092,0.1375,0.1601,0.1771,0.1934,0.107849,0.288606,0.227378,0.139749,2019,1,0.108572
0.0947,0.07745,0.0442,0.0436,0.0395,0.115906,0.288496,0.27223,0.19512,2019,1,0.05621
0.12465,0.13305,0.11865,0.1251,0.1216,0.224105,0.258494,0.310881,0.287809,2019,1,0.038242
0.014,0.011,0.0105,0.011,0.01135,0.174454,0.287341,0.329787,0.256074,2019,1,0.065026
0.117,0.1505,0.2045,0.2269,0.2428,0.120416,0.254561,0.281676,0.203892,2019,1,0.084365
0.0784,0.1177,0.2351,0.2788,0.2988,0.121227,0.236576,0.190541,0.140024,2019,1,0.158188
0.12395,0.14645,0.17685,0.1952,0.2158,0.107024,0.192521,0.197292,0.145056,2019,1,0.024251
0.1785,0.2085,0.2301,0.246,0.2662,0.129244,0.279573,0.251811,0.170397,2019,1,0.124402
0.1014,0.1316,0.2004,0.223,0.2381,0.134565,0.238749,0.234665,0.166396,2019,1,0.14186
0.11515,0.1207,0.09745,0.103,0.09805,0.098444,0.15739,0.153238,0.122795,2019,1,0.152786
0.0711,0.1278,0.207,0.2326,0.2517,0.081064,0.29005,0.184354,0.118629,2019,1,0.065194
0.1248,0.1676,0.21,0.2356,0.2642,0.07665,0.209351,0.157624,0.10976,2019,1,0.087722
0.1408,0.1739,0.2293,0.2537,0.2754,0.003307,-0.0005,0.005769,0.006319,2019,1,0.044437
0.4506,0.4815,0.4693,0.4744,0.4896,0.083662,0.03045,0.013097,0.013194,2019,1,0.023046
0.1339,0.1543,0.173,0.1882,0.2045,-0.00067,-0.00184,0.004958,0.005274,2019,1,0.063171
0.1279,0.1549,0.1844,0.2013,0.2183,0.204594,0.268078,0.305807,0.274279,2019,1,0.034935
0.13315,0.16485,0.20935,0.224,0.24005,0.115604,0.185976,0.179748,0.143998,2019,1,0.052556
0.1427,0.1742,0.1999,0.2203,0.2473,0.02033,0.011145,0.016824,0.017168,2019,1,0.049906
0.14135,0.1681,0.18855,0.20355,0.22105,0.331671,0.378174,0.306591,0.21987,2019,1,0.062615
0.07475,0.1206,0.2177,0.2488,0.27005,0.202806,0.277868,0.392914,0.306069,2019,1,0.023742
