S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.1028,0.1311,0.1935,0.2169,0.2277,0.087952,0.197911,0.175334,0.127374,2019,1,0.091799
0.07225,0.10345,0.15465,0.1742,0.1873,0.11911,0.202311,0.218124,0.165118,2019,1,0.136059
0.1034,0.1317,0.1738,0.1939,0.1998,0.124005,0.22152,0.285513,0.225178,2019,1,0.184687
0.1317,0.16495,0.21735,0.2414,0.2601,0.09854,0.266221,0.255221,0.194955,2019,1,0.183401
0.1695,0.2071,0.2464,0.2698,0.2877,0.069088,0.280123,0.183213,0.107601,2019,1,0.186598
0.1116,0.1548,0.225,0.2531,0.2712,0.144135,0.317303,0.337872,0.233744,2019,1,0.191445
0.0554,0.09465,0.17105,0.19655,0.2132,0.140794,0.245431,0.269095,0.180449,2019,1,0.177998
0.114,0.1501,0.1986,0.2197,0.2368,0.13132,0.224793,0.226498,0.15959,2019,1,0.187392
0.1706,0.1946,0.2044,0.214,0.21695,0.092353,0.248924,0.214329,0.140917,2019,1,0.187692
0.09875,0.12735,0.1678,0.187,0.2008,0.070586,0.205694,0.193937,0.13825,2019,1,0.184009
0.1069,0.12635,0.14265,0.1562,0.16705,0.109471,0.212665,0.237621,0.182126,2019,1,0.196303
0.1128,0.1415,0.18975,0.2099,0.2244,0.171305,0.273715,0.41688,0.341833,2019,1,0.186966
0.02335,0.0211,0.0185,0.01785,0.01715,0.106488,0.224985,0.269865,0.198943,2019,1,0.137759
0.18135,0.2234,0.2755,0.3007,0.3202,0.161391,0.232933,0.351719,0.29401,2019,1,0.158852
0.1488,0.1793,0.205,0.225,0.2379,-0.00332,-0.00449,0.004036,0.004242,2019,1,0.178829
0.13105,0.15275,0.17695,0.18955,0.1974,0.134455,0.252073,0.341338,0.256335,2019,1,0.162071
0.1229,0.1608,0.2143,0.2402,0.2478,0.091857,0.212885,0.272161,0.188547,2019,1,0.122607
0.0191,0.0176,0.0154,0.0148,0.0135,0.070958,0.233592,0.175733,0.10503,2019,1,0.189911
0.1402,0.1616,0.1782,0.18915,0.19115,0.08996,0.217491,0.241636,0.160951,2019,1,0.109418
0.0179,0.0165,0.0145,0.0148,0.0132,0.09139,0.202188,0.190473,0.14078,2019,1,0.166299
0.1522,0.1807,0.20445,0.2208,0.23355,0.091143,0.152055,0.198186,0.159521,2019,1,0.110502
0.1819,0.2127,0.241,0.2597,0.2681,0.052876,0.20678,0.155726,0.086261,2019,1,0.183066
0.15555,0.1942,0.23865,0.2629,0.28,0.104136,0.195175,0.235861,0.173532,2019,1,0.116179
0.1637,0.1989,0.22785,0.24285,0.25255,0.087059,0.212143,0.177231,0.121173,2019,1,0.124078
0.2133,0.2515,0.2847,0.3037,0.319,0.11845,0.235655,0.287424,0.209324,2019,1,0.186432
0.1967,0.2343,0.2628,0.2807,0.2921,0.16905,0.292154,0.359144,0.279806,2019,1,0.114282
0.12835,0.1665,0.19515,0.21175,0.2259,0.080363,0.203452,0.145647,0.096423,2019,1,0.104023
0.1504,0.1793,0.1963,0.2119,0.2233,0.073735,0.211936,0.198585,0.128845,2019,1,0.077614
0.1256,0.1496,0.1764,0.1962,0.2084,0.198846,0.305381,0.397726,0.315199,2019,1,0.201601
0.0944,0.13375,0.1938,0.21535,0.23275,0.002318,0.002482,0.011035,0.010086,2019,1,0.206883
0.1016,0.1393,0.226,0.2569,0.2659,0.069968,0.163578,0.188259,0.13847,2019,1,0.119946
0.1097,0.14255,0.19865,0.22655,0.24305,0.109306,0.300596,0.259553,0.174481,2019,1,0.171624
0.1293,0.16515,0.19875,0.2187,0.2319,0.050209,0.064138,0.078465,0.066489,2019,1,0.173042
0.1132,0.14805,0.19965,0.2208,0.2338,-0.00085,-0.00085,0.00548,0.005865,2019,1,0.184769
0.109,0.1476,0.2092,0.2364,0.2445,0.035758,0.014129,0.009082,0.006704,2019,1,0.174209
0.02175,0.01945,0.01675,0.01605,0.01545,0.08589,0.261698,0.236507,0.164017,2019,1,0.117095
0.11065,0.14205,0.19605,0.2191,0.22765,-0.00126,-0.00304,0.004174,0.004284,2019,1,0.168879
0.0994,0.1341,0.2017,0.2354,0.2505,0.067987,0.142622,0.109155,0.076898,2019,1,0.117694
0.1973,0.2352,0.2691,0.2894,0.2934,0.086866,0.206147,0.178593,0.12153,2019,1,0.180131
0.1296,0.1625,0.2054,0.2326,0.2489,0.175183,0.291301,0.347195,0.251083,2019,1,0.175717
0.14045,0.1783,0.22235,0.24305,0.25375,0.1355,0.258508,0.319145,0.229193,2019,1,0.119841
0.0613,0.098,0.186,0.2199,0.2395,0.084185,0.188273,0.220338,0.157335,2019,1,0.192735
0.0343,0.03425,0.03155,0.0306,0.0273,0.069885,0.23967,0.155341,0.098567,2019,1,0.110486
0.11015,0.1414,0.19945,0.22195,0.22745,0.078204,0.217959,0.254589,0.162478,2019,1,0.19447
0.0828,0.0885,0.0795,0.0843,0.0814,0.080143,0.317743,0.18291,0.11449,2019,1,0.186204
0.109,0.1378,0.19625,0.21585,0.22315,0.111355,0.191655,0.213353,0.153623,2019,1,0.108777
0.055,0.0951,0.1917,0.2319,0.2436,0.111754,0.183364,0.198365,0.158779,2019,1,0.101917
0.02925,0.074,0.18875,0.22865,0.2446,0.157816,0.284674,0.357563,0.279641,2019,1,0.176586
0.2089,0.2431,0.2664,0.2856,0.3007,0.165228,0.290091,0.36441,0.281828,2019,1,0.093715
0.1033,0.1208,0.1428,0.1583,0.17475,0.040584,0.23483,0.148824,0.078616,2019,1,0.198314
0.19715,0.2302,0.2581,0.2759,0.2855,0.15607,0.278143,0.36188,0.279765,2019,1,0.185398
0.1065,0.1402,0.1931,0.2224,0.2326,0.029529,0.220406,0.138649,0.06708,2019,1,0.212148
0.1268,0.1656,0.2189,0.2441,0.2654,0.108536,0.252554,0.237181,0.15464,2019,1,0.108571
0.1317,0.1612,0.18865,0.2067,0.2188,0.101042,0.182415,0.206051,0.14716,2019,1,0.200893
0.11945,0.15635,0.2118,0.2363,0.246,0.111658,0.203219,0.256693,0.18027,2019,1,0.112201
0.022,0.0669,0.1828,0.2177,0.2329,0.113844,0.24484,0.252279,0.182511,2019,1,0.104891
0.1812,0.2244,0.2725,0.2973,0.3063,0.051322,0.255826,0.174921,0.096807,2019,1,0.166081
0.1162,0.1455,0.1891,0.2065,0.213,0.180683,0.280246,0.346508,0.268105,2019,1,0.273533
0.0881,0.0999,0.1067,0.1145,0.1203,0.104397,0.22372,0.24363,0.164127,2019,1,0.139907
0.1258,0.15085,0.1772,0.1924,0.19995,0.100162,0.211648,0.266455,0.205598,2019,1,0.132499
0.12405,0.1557,0.18815,0.20305,0.2126,0.143668,0.26013,0.324645,0.24374,2019,1,0.120397
0.18205,0.21755,0.2637,0.2893,0.3112,0.118574,0.232204,0.262454,0.183391,2019,1,0.111773
0.1585,0.1869,0.2053,0.2218,0.2352,0.09271,0.255978,0.259621,0.183213,2019,1,0.104228
0.0819,0.10965,0.1435,0.1606,0.1759,0.091775,0.218605,0.174413,0.117158,2019,1,0.111081
0.12645,0.1644,0.22665,0.25075,0.263,0.139584,0.314828,0.314016,0.225026,2019,1,0.112656
0.1221,0.15025,0.18025,0.19835,0.2102,0.08215,0.238185,0.217588,0.143722,2019,1,0.195702
0.023,0.0207,0.0183,0.0179,0.016,0.031385,0.278239,0.158696,0.075481,2019,1,0.206627
0.1638,0.1936,0.2187,0.2366,0.249,0.155328,0.234019,0.287053,0.242557,2019,1,0.124678
0.0762,0.1002,0.1563,0.1736,0.1817,0.1179,0.197884,0.196743,0.149718,2019,1,0.13065
0.0825,0.11935,0.1962,0.22225,0.23165,0.103834,0.178538,0.207921,0.163206,2019,1,0.19064
0.099,0.1225,0.1523,0.166,0.1752,-0.00448,-0.00503,0.004889,0.004971,2019,1,0.154714
0.025,0.02345,0.02095,0.02015,0.019,0.09667,0.249213,0.239876,0.159948,2019,1,0.187573
0.07295,0.09985,0.14535,0.16035,0.1675,0.115507,0.205185,0.26761,0.20425,2019,1,0.185157
0.04355,0.0799,0.1536,0.1821,0.19655,0.158353,0.289005,0.341667,0.258205,2019,1,0.173954
0.0873,0.128,0.2104,0.2426,0.253,0.03793,0.262165,0.142128,0.07071,2019,1,0.188816
0.0228,0.0205,0.0184,0.0177,0.0163,0.041629,0.205378,0.146761,0.080761,2019,1,0.115819
0.1444,0.1755,0.2128,0.2326,0.2491,0.091363,0.2477,0.2081,0.137315,2019,1,0.1924
0.09525,0.1292,0.1724,0.19305,0.2083,0.134978,0.248236,0.317165,0.233592,2019,1,0.187635
0.1016,0.1403,0.1855,0.2088,0.2255,0.095845,0.165461,0.212266,0.169559,2019,1,0.112674
0.1045,0.1254,0.1459,0.1586,0.1681,0.089699,0.214631,0.188204,0.125889,2019,1,0.112149
0.1393,0.1601,0.1754,0.18475,0.18835,0.090537,0.206203,0.226553,0.1575,2019,1,0.115823
0.1738,0.2025,0.2289,0.24645,0.2588,0.11988,0.183955,0.169847,0.121777,2019,1,0.115197
0.03475,0.05705,0.10685,0.12705,0.13725,0.000667,-0.00115,0.00735,0.006992,2019,1,0.192673
0.0386,0.0789,0.1923,0.2344,0.251,0.032265,0.178744,0.109416,0.051501,2019,1,0.113204
0.0386,0.0387,0.03605,0.0352,0.03075,0.093013,0.249405,0.251454,0.179638,2019,1,0.19064
0.0275,0.0756,0.1942,0.2316,0.2489,0.132805,0.232396,0.269453,0.181961,2019,1,0.09353
0.1063,0.1353,0.1837,0.2034,0.2133,0.08809,0.235298,0.208513,0.136641,2019,1,0.128029
0.129,0.1608,0.2004,0.2203,0.2307,0.03353,0.205831,0.120086,0.060109,2019,1,0.178597
0.09365,0.1154,0.1444,0.1565,0.16025,0.102844,0.179418,0.174509,0.124252,2019,1,0.213071
0.1771,0.2057,0.2329,0.2505,0.2647,0.048435,0.28917,0.142361,0.076444,2019,1,0.125088
0.14845,0.1873,0.22665,0.24935,0.2639,0.134881,0.205158,0.218591,0.167936,2019,1,0.192599
0.1211,0.1414,0.1582,0.1668,0.1701,0.082796,0.298355,0.219829,0.123056,2019,1,0.123175
0.1307,0.1676,0.2231,0.2511,0.2626,0.086357,0.211166,0.228464,0.140945,2019,1,0.111988
0.1559,0.1859,0.22965,0.2515,0.26295,0.042701,0.221932,0.150405,0.079703,2019,1,0.181791
0.1517,0.1872,0.222,0.2447,0.2623,0.082604,0.180174,0.213394,0.144658,2019,1,0.164079
0.0417,0.094,0.2457,0.3025,0.3202,0.151643,0.202958,0.221108,0.168995,2019,1,0.177143
0.1455,0.1716,0.1915,0.2083,0.2194,0.110406,0.238103,0.301325,0.233098,2019,1,0.120211
0.0537,0.09535,0.1868,0.22055,0.23535,0.030216,0.251275,0.126274,0.057208,2019,1,0.111951
0.0365,0.03615,0.03395,0.03305,0.0294,0.14199,0.231338,0.240825,0.164073,2019,1,0.113468
0.127,0.1632,0.2137,0.2376,0.2477,0.04915,0.240798,0.185082,0.105855,2019,1,0.177865
0.1502,0.1773,0.2058,0.2233,0.2351,0.10151,0.234528,0.212803,0.149442,2019,1,0.185952
0.134,0.1609,0.184,0.1998,0.2134,0.09128,0.292305,0.219609,0.144163,2019,1,0.079698
0.1129,0.1465,0.2007,0.2241,0.2378,0.097811,0.179692,0.236617,0.176173,2019,1,0.130693
0.0897,0.1286,0.1799,0.2029,0.22035,0.095515,0.204965,0.202023,0.146197,2019,1,0.186145
0.02935,0.02425,0.0198,0.01935,0.01935,0.194666,0.292704,0.410761,0.328839,2019,1,0.101911
0.12985,0.15275,0.17185,0.1882,0.2005,-0.00384,-0.0043,0.004256,0.004435,2019,1,0.157221
0.12185,0.1472,0.19025,0.2092,0.2146,0.08138,0.16267,0.217203,0.160388,2019,1,0.206548
0.13925,0.1693,0.19615,0.21295,0.2253,0.109801,0.203384,0.281539,0.221589,2019,1,0.167978
0.1165,0.14955,0.18945,0.20925,0.2232,0.105745,0.215429,0.243589,0.172034,2019,1,0.178714
0.05595,0.0938,0.18265,0.21645,0.2308,0.034465,0.26508,0.14199,0.069748,2019,1,0.108571
0.03125,0.0774,0.21895,0.26775,0.28365,0.09051,0.16894,0.229825,0.173601,2019,1,0.104464
0.1054,0.1601,0.2707,0.3117,0.3285,0.099571,0.200317,0.228725,0.168074,2019,1,0.159707
0.10015,0.1331,0.19505,0.21675,0.2224,0.026614,0.243163,0.108385,0.048641,2019,1,0.18694
0.1094,0.13375,0.17185,0.1867,0.19455,0.091225,0.224407,0.159673,0.101538,2019,1,0.079004
0.1674,0.2005,0.2371,0.26,0.2699,0.111328,0.232396,0.186691,0.135376,2019,1,0.188051
0.0869,0.1186,0.1756,0.19685,0.20795,0.13715,0.23395,0.24605,0.169518,2019,1,0.134452
0.1502,0.17775,0.20965,0.2253,0.2261,0.098073,0.260268,0.2565,0.173615,2019,1,0.070574
0.143,0.1777,0.21585,0.2363,0.2501,0.108096,0.26211,0.281745,0.188823,2019,1,0.083347
0.0276,0.07115,0.19325,0.2404,0.2512,0.10888,0.251151,0.248415,0.171621,2019,1,0.174765
0.1815,0.2203,0.2602,0.2838,0.303,0.14353,0.200207,0.226058,0.178345,2019,1,0.1173
0.1981,0.2365,0.2691,0.2893,0.2953,0.1168,0.178909,0.246009,0.20172,2019,1,0.119946
0.0976,0.1333,0.1948,0.2189,0.2268,0.104315,0.22636,0.204443,0.141083,2019,1,0.074849
0.1622,0.1948,0.2245,0.2446,0.2665,0.112042,0.172433,0.216075,0.161158,2019,1,0.149189
0.1334,0.162,0.2079,0.2274,0.2329,0.077255,0.189318,0.155451,0.108536,2019,1,0.221142
0.07815,0.1111,0.1795,0.20045,0.2075,0.095818,0.254424,0.228065,0.145538,2019,1,0.124649
0.1414,0.1643,0.1821,0.1923,0.1909,0.087183,0.214521,0.178235,0.122341,2019,1,0.116923
0.0952,0.1204,0.1708,0.1921,0.1972,0.102143,0.206917,0.224683,0.163358,2019,1,0.113633
0.0388,0.0806,0.1972,0.2408,0.2553,0.057455,0.212569,0.208306,0.121337,2019,1,0.175692
0.1193,0.1392,0.1563,0.1696,0.1778,-0.00032,-0.00218,0.004683,0.004683,2019,1,0.225826
0.1085,0.1469,0.2069,0.2365,0.2502,0.070462,0.221025,0.162354,0.102995,2019,1,0.159616
0.0874,0.1312,0.2379,0.2711,0.2868,0.20975,0.299648,0.426863,0.34912,2019,1,0.113522
0.1067,0.1331,0.1561,0.1686,0.175,0.107422,0.257023,0.29016,0.19127,2019,1,0.131855
0.0981,0.1183,0.1426,0.1592,0.1736,0.141316,0.244221,0.268586,0.196921,2019,1,0.180787
0.0898,0.123,0.1997,0.229,0.2434,0.081435,0.149841,0.187296,0.142224,2019,1,0.172973
0.13,0.159,0.1825,0.1964,0.203,0.036431,0.223445,0.13616,0.069115,2019,1,0.183335
0.1323,0.16,0.1915,0.2109,0.226,0.085725,0.265451,0.187805,0.117584,2019,1,0.182998
0.1725,0.2037,0.2299,0.2487,0.264,0.12472,0.202256,0.214563,0.150666,2019,1,0.11013
0.0968,0.1267,0.1601,0.1754,0.18505,0.132805,0.310469,0.21525,0.147105,2019,1,0.103382
0.0852,0.1027,0.1194,0.1261,0.1307,0.147518,0.25166,0.376867,0.300528,2019,1,0.211805
0.1228,0.1542,0.2006,0.2238,0.2446,0.095075,0.216185,0.24374,0.16696,2019,1,0.181993
0.1121,0.13035,0.14565,0.159,0.1679,0.075179,0.139597,0.119468,0.090386,2019,1,0.126247
0.0989,0.1286,0.168,0.1871,0.19955,0.169999,0.263568,0.321056,0.254658,2019,1,0.130256
0.1666,0.1866,0.1975,0.208,0.2104,0.136353,0.244758,0.343262,0.266978,2019,1,0.097396
0.04905,0.0984,0.2148,0.25915,0.281,0.105882,0.259511,0.260171,0.185742,2019,1,0.141928
0.0991,0.1391,0.2132,0.2456,0.2636,0.114999,0.223046,0.21833,0.171429,2019,1,0.140851
0.09935,0.129,0.17095,0.19145,0.20885,-0.00281,-0.00251,0.006071,0.005727,2019,1,0.190874
0.1104,0.1531,0.2301,0.2662,0.2814,7.96E-02,0.176626,0.202958,0.139199,2019,1,0.120414
0.03145,0.03095,0.0276,0.0265,0.02445,0.109114,0.210094,0.26871,0.19171,2019,1,0.108369
0.1069,0.134,0.1646,0.1835,0.1998,0.167579,0.267583,0.330888,0.258549,2019,1,0.134809
0.1121,0.134,0.1577,0.1694,0.1766,0.081435,0.170301,0.193223,0.131499,2019,1,0.188002
0.0414,0.08795,0.2073,0.24495,0.2594,0.078273,0.232149,0.177094,0.113225,2019,1,0.191445
0.076,0.11525,0.1849,0.20945,0.22025,0.106598,0.264241,0.222496,0.147806,2019,1,0.122957
0.08095,0.1098,0.181,0.2071,0.21395,0.109705,0.24044,0.299538,0.20656,2019,1,0.119245
0.1492,0.1844,0.21925,0.23805,0.25175,0.160786,0.222029,0.248676,0.187063,2019,1,0.085959
0.1735,0.2061,0.239,0.2602,0.2738,0.091033,0.197306,0.20194,0.137398,2019,1,0.09353
0.0406,0.037,0.03475,0.0347,0.03175,0.154255,0.27058,0.340485,0.267033,2019,1,0.074192
0.1126,0.1436,0.1795,0.2003,0.2139,0.099558,0.255868,0.261395,0.170067,2019,1,0.132548
0.1739,0.211,0.2435,0.2704,0.2923,0.08765,0.163358,0.258728,0.203068,2019,1,0.10588
0.0962,0.1114,0.1243,0.1355,0.1443,-0.0003,-0.00151,0.002318,0.002537,2019,1,0.123924
0.0927,0.1246,0.1568,0.1757,0.1892,0.123235,0.24627,0.233648,0.168308,2019,1,0.137936
0.1407,0.1631,0.1847,0.2029,0.2146,0.15442,0.293529,0.334394,0.229523,2019,1,0.185812
0.1153,0.1474,0.1887,0.2101,0.2219,0.124651,0.189345,0.193827,0.140381,2019,1,0.195495
0.13115,0.1634,0.19915,0.22185,0.24215,0.106818,0.222758,0.25111,0.163715,2019,1,0.185548
0.0983,0.1122,0.1304,0.1461,0.1628,0.097137,0.227928,0.20557,0.143695,2019,1,0.177956
0.10315,0.13215,0.1623,0.1787,0.1938,0.120664,0.241128,0.269301,0.204236,2019,1,0.188598
0.0857,0.11525,0.17565,0.2021,0.21105,0.156455,0.220915,0.249831,0.190679,2019,1,0.187253
0.0287,0.02875,0.02665,0.02655,0.0228,0.090813,0.195065,0.223335,0.15387,2019,1,0.163709
