S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.1186,0.1424,0.1667,0.1817,0.1939,0.174165,0.294725,0.348061,0.268944,2019,1,0.168825
0.1274,0.1543,0.1776,0.19345,0.20725,0.130688,0.232891,0.239464,0.176695,2019,1,0.058401
0.1286,0.1512,0.16645,0.17955,0.18555,0.128213,0.200153,0.193058,0.139653,2019,1,0.173644
0.1452,0.1772,0.2266,0.2467,0.2534,0.10657,0.242296,0.226704,0.158586,2019,1,0.202532
0.08755,0.11825,0.1959,0.22445,0.2288,0.073267,0.224669,0.152206,0.100822,2019,1,0.183822
0.085,0.1197,0.17835,0.20565,0.21975,0.082604,0.225026,0.201679,0.13187,2019,1,0.203688
0.0749,0.1023,0.1644,0.1847,0.1969,0.081146,0.191902,0.151203,0.106886,2019,1,0.191619
0.0799,0.11755,0.1993,0.23055,0.2447,0.070078,0.274348,0.212583,0.142073,2019,1,0.199649
0.0265,0.02175,0.0206,0.0209,0.0197,-0.0009,-0.00232,0.00658,0.006649,2019,1,0.166158
0.0905,0.1317,0.2987,0.3313,0.3422,0.072497,0.321318,0.197458,0.121695,2019,1,0.191834
0.09215,0.11455,0.16595,0.17835,0.1849,0.052876,0.136875,0.1212,0.087609,2019,1,0.167945
0.0844,0.1288,0.2439,0.2804,0.2869,0.090125,0.29346,0.186348,0.109733,2019,1,0.196251
0.0774,0.1211,0.2252,0.2595,0.2767,0.069734,0.256816,0.201143,0.125298,2019,1,0.166058
0.0543,0.04745,0.03655,0.03515,0.03265,0.015352,0.006979,0.009151,0.00801,2019,1,0.167927
0.0675,0.10725,0.1772,0.20215,0.22015,0.051666,0.20788,0.174963,0.10393,2019,1,0.169304
0.109,0.1328,0.1587,0.1709,0.175,0.10888,0.17004,0.22856,0.162643,2019,1,0.189163
0.1572,0.1918,0.2342,0.25295,0.2619,0.3104,0.402566,0.369099,0.286723,2019,1,0.196766
0.0521,0.0837,0.1727,0.2008,0.2146,0.049769,0.208499,0.128515,0.074037,2019,1,0.18123
0.1067,0.1372,0.1947,0.2155,0.2335,0.106034,0.256418,0.211496,0.150226,2019,1,0.194186
0.093,0.126,0.1787,0.20165,0.21755,0.075908,0.235421,0.18522,0.116993,2019,1,0.129708
0.10835,0.1359,0.1677,0.1839,0.20075,0.098347,0.199589,0.249226,0.174701,2019,1,0.139332
0.09635,0.1262,0.19105,0.21595,0.22125,0.098389,0.19556,0.167111,0.133987,2019,1,0.1724
0.1535,0.17915,0.19525,0.2116,0.2274,0.11691,0.182415,0.219884,0.156414,2019,1,0.112535
0.12775,0.15775,0.1832,0.2026,0.2207,0.111286,0.221699,0.227185,0.147834,2019,1,0.202032
0.0308,0.0312,0.0279,0.0263,0.0229,0.001644,-0.00192,0.007886,0.007845,2019,1,0.18736
0.1226,0.1512,0.1844,0.2005,0.2122,0.10228,0.215828,0.164636,0.113569,2019,1,0.195799
0.1112,0.1364,0.1563,0.1728,0.1892,0.10327,0.208485,0.24539,0.166493,2019,1,0.180698
0.1107,0.1405,0.17085,0.1886,0.2014,0.111603,0.199176,0.245211,0.179692,2019,1,0.112173
0.0917,0.12195,0.17875,0.1989,0.2025,0.088049,0.208361,0.161268,0.110544,2019,1,0.116713
0.0838,0.1143,0.1395,0.1544,0.1708,0.074491,0.182319,0.209915,0.139034,2019,1,0.183805
0.0861,0.11125,0.15905,0.1763,0.1808,0.0772,0.175733,0.146363,0.10954,2019,1,0.208345
0.0647,0.1086,0.1918,0.2205,0.2407,0.044365,0.219815,0.148095,0.076788,2019,1,0.058456
0.1357,0.1632,0.19025,0.20955,0.22275,0.130316,0.233785,0.318361,0.266125,2019,1,0.085702
0.02875,0.08615,0.22295,0.26035,0.277,0.032678,0.248773,0.118698,0.055585,2019,1,0.18935
0.09355,0.12415,0.17835,0.1985,0.20825,0.083594,0.222551,0.183556,0.123758,2019,1,0.170432
0.13805,0.16205,0.1854,0.20015,0.20605,0.12714,0.222716,0.22328,0.159411,2019,1,0.18608
0.127,0.1579,0.1868,0.2029,0.2109,0.325621,0.396131,0.376235,0.306151,2019,1,0.180245
0.10955,0.1304,0.1514,0.1644,0.17105,0.096725,0.165021,0.161515,0.125504,2019,1,0.091999
