S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,sm_surface
0.1726,0.2048,0.2428,0.2643,0.28335,0.192026,0.233771,0.305038,0.277771,2019,1,0.080389
0.1925,0.2335,0.3103,0.3363,0.3518,0.16487,0.318169,0.260914,0.223638,2019,1,0.125865
0.0291,0.0801,0.2838,0.3629,0.3735,0.231681,0.276671,0.347814,0.325869,2019,1,0.023675
0.23,0.2517,0.2597,0.2703,0.2804,0.100108,0.190335,0.205268,0.152619,2019,1,0.107427
0.2426,0.2669,0.2825,0.2983,0.312,0.088599,0.271983,0.225191,0.157321,2019,1,0.210757
0.1756,0.2161,0.293,0.3071,0.3178,0.107835,0.203535,0.187544,0.133781,2019,1,0.068557
0.1202,0.1454,0.1774,0.1945,0.2109,0.266964,0.304199,0.378985,0.369126,2019,1,0.104156
0.28375,0.3014,0.30125,0.30955,0.32305,0.177479,0.287149,0.289638,0.25166,2019,1,0.085834
0.1809,0.2032,0.2189,0.22575,0.23235,0.169339,0.255125,0.312298,0.278019,2019,1,0.079351
0.0486,0.1162,0.3498,0.4112,0.4208,0.226704,0.34813,0.282075,0.234541,2019,1,0.087677
0.2816,0.30355,0.31125,0.3178,0.3256,0.324728,0.451461,0.271336,0.23835,2019,1,0.063171
0.13455,0.1604,0.21325,0.23225,0.25275,0.200056,0.294959,0.287616,0.255249,2019,1,0.10692
0.21685,0.2484,0.281,0.29755,0.3118,0.131925,0.243768,0.273193,0.211675,2019,1,0.101152
0.2432,0.2736,0.3102,0.3255,0.3311,0.26585,0.299043,0.365579,0.355005,2019,1,0.101569
0.2808,0.3073,0.31445,0.3235,0.33025,0.322445,0.414996,0.355019,0.321015,2019,1,0.099365
0.09905,0.1462,0.2471,0.2746,0.2787,0.530359,0.552441,0.306591,0.309135,2019,1,0.069607
0.2318,0.26325,0.30565,0.3226,0.3366,0.317014,0.432528,0.345916,0.27685,2019,1,0.102775
0.0823,0.1252,0.2761,0.3242,0.3356,0.062295,0.351361,0.152151,0.09018,2019,1,0.098023
0.0413,0.0899,0.269,0.3381,0.3531,0.217285,0.263141,0.342176,0.316093,2019,1,0.136461
0.0742,0.11355,0.24505,0.28555,0.2948,0.071618,0.272381,0.147999,0.096835,2019,1,0.075087
0.0964,0.1294,0.1914,0.2147,0.2274,0.193731,0.333583,0.31843,0.280631,2019,1,0.067893
0.2055,0.2418,0.282,0.3034,0.3174,0.257325,0.32855,0.382546,0.349931,2019,1,0.098506
0.04375,0.09365,0.2738,0.3337,0.3516,0.191435,0.313384,0.313081,0.268229,2019,1,0.07002
0.26475,0.289,0.3028,0.31625,0.33345,0.046221,0.386135,0.151271,0.073185,2019,1,0.094504
0.25945,0.28125,0.2826,0.2906,0.2998,0.231874,0.299208,0.331286,0.30215,2019,1,0.090215
0.29365,0.3165,0.32295,0.33365,0.34395,0.097701,0.309176,0.220654,0.16278,2019,1,0.073322
0.2358,0.2606,0.2962,0.3062,0.3148,0.228354,0.283436,0.34505,0.313975,2019,1,0.094757
0.0455,0.0997,0.2728,0.3497,0.3668,0.070023,0.369814,0.189015,0.118684,2019,1,0.068884
0.267,0.2826,0.28085,0.2875,0.29795,0.145084,0.289115,0.285966,0.231049,2019,1,0.07632
0.5222,0.5515,0.5392,0.5435,0.565,0.25562,0.302095,0.369195,0.316808,2019,1,0.123213
0.2651,0.28845,0.2984,0.3079,0.3153,0.343441,0.449963,0.29104,0.26123,2019,1,0.119917
0.2353,0.255,0.261,0.2672,0.2694,0.466738,0.539118,0.27289,0.264173,2019,1,0.089075
0.0741,0.1154,0.2164,0.2527,0.2641,0.174041,0.295028,0.269893,0.257903,2019,1,0.074339
0.1196,0.1614,0.2418,0.2626,0.2751,0.141619,0.249845,0.2994,0.226016,2019,1,0.089708
0.2441,0.26475,0.27965,0.29195,0.3097,0.313645,0.369003,0.419108,0.385791,2019,1,0.103203
0.25125,0.27705,0.2875,0.30065,0.31805,0.115659,0.371409,0.183048,0.135459,2019,1,0.093628
0.2006,0.2341,0.2707,0.2931,0.3104,0.239945,0.348845,0.288923,0.234046,2019,1,0.07467
0.2102,0.2356,0.2767,0.2857,0.2917,0.077379,0.350811,0.175911,0.114325,2019,1,0.097276
0.2076,0.23735,0.2607,0.27815,0.29945,0.26409,0.321125,0.401535,0.369319,2019,1,0.020498
0.1507,0.1795,0.2168,0.2394,0.2577,0.200703,0.307485,0.271556,0.226264,2019,1,0.086746
0.10745,0.15035,0.2477,0.27575,0.2819,0.374338,0.595548,0.208884,0.184313,2019,1,0.129048
0.1384,0.18545,0.30715,0.34345,0.36035,0.226553,0.374833,0.206629,0.168569,2019,1,0.092951
0.19095,0.2193,0.2371,0.2559,0.2787,0.073103,0.290476,0.145634,0.091775,2019,1,0.087883
0.23625,0.28845,0.4273,0.4645,0.48325,0.121283,0.236494,0.20689,0.168528,2019,1,0.081469
0.237,0.2635,0.2787,0.2894,0.2987,0.229894,0.303704,0.340554,0.300665,2019,1,0.044001
0.08425,0.13325,0.29885,0.3554,0.3725,0.232011,0.319626,0.364974,0.324879,2019,1,0.110938
0.1452,0.1726,0.2212,0.2415,0.2593,0.258343,0.416316,0.243726,0.222208,2019,1,0.095702
0.087,0.1384,0.2838,0.3244,0.3326,0.166369,0.290875,0.245885,0.216873,2019,1,0.069107
