S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,Predicted Soil Moisture
0.2585,0.291,0.3031,0.3253,0.3312,0.23263,0.326914,0.419878,0.375946,2020,5,0.07787956
0.212,0.2377,0.259,0.2717,0.2866,0.179734,0.242159,0.294258,0.268875,2022,2,0.087813444
0.2628,0.2812,0.2888,0.2983,0.3192,0.211689,0.277579,0.353039,0.328261,2021,1,0.11004381
0.1732,0.1952,0.2104,0.2256,0.2304,0.111699,0.177534,0.182993,0.145661,2019,5,0.073939584
0.2228,0.25455,0.2847,0.30465,0.32665,0.050333,0.258755,0.140313,0.08743,2023,1,0.08880963
0.112,0.14895,0.21605,0.2446,0.2542,0.109444,0.244551,0.259649,0.204264,2022,10,0.12032122
0.20875,0.2458,0.27875,0.29865,0.30035,0.203164,0.292401,0.292855,0.266015,2023,10,0.11006336
0.28315,0.31215,0.32415,0.33375,0.34395,0.263966,0.317784,0.38553,0.359584,2022,2,0.09362559
0.2698,0.2859,0.29565,0.30245,0.3197,0.091225,0.297585,0.226553,0.162491,2021,1,0.10514079
0.0736,0.1276,0.314,0.3907,0.392,0.182058,0.294148,0.335645,0.262454,2020,9,0.14278172
0.18405,0.2292,0.29615,0.3224,0.3184,0.181618,0.3214,0.308888,0.2466,2023,6,0.12905858
0.2409,0.2713,0.2981,0.3167,0.3354,0.251976,0.345146,0.395183,0.357095,2023,2,0.0898011
0.1017,0.1351,0.18425,0.204,0.22125,0.108069,0.230581,0.269178,0.21019,2023,12,0.1041877
0.1659,0.1953,0.2263,0.2453,0.2564,0.154888,0.264365,0.274678,0.204566,2019,4,0.07307205
0.06205,0.10365,0.1684,0.1888,0.20505,0.06686,0.214824,0.202325,0.12626,2023,12,0.10754532
0.1423,0.2,0.2969,0.3227,0.3048,0.101208,0.384733,0.25705,0.149168,2021,9,0.14490269
0.2071,0.2419,0.2721,0.2933,0.3011,0.186966,0.293364,0.370969,0.323009,2020,4,0.073607296
0.2974,0.3264,0.3323,0.34725,0.3581,0.267761,0.354414,0.398455,0.311225,2021,4,0.067408994
0.1635,0.2084,0.2589,0.27705,0.2792,0.377349,0.48519,0.367174,0.287836,2020,3,0.10731878
0.2392,0.2712,0.29095,0.30805,0.32615,0.219004,0.303044,0.342878,0.29104,2022,12,0.097369514
0.1818,0.2094,0.2521,0.2709,0.2747,0.170741,0.260281,0.289913,0.249694,2023,11,0.11155962
0.1723,0.2023,0.2536,0.2861,0.28885,0.149085,0.254341,0.240399,0.188121,2023,6,0.12559316
0.0652,0.1338,0.2969,0.3455,0.3442,0.066118,0.328248,0.189496,0.096684,2023,9,0.14215584
0.1619,0.1843,0.1986,0.2154,0.2054,0.29885,0.364685,0.396929,0.333019,2021,6,0.10548401
0.3128,0.3491,0.3577,0.3741,0.3788,0.238158,0.351183,0.402264,0.33713,2022,6,0.07603847
0.17195,0.19715,0.22485,0.24205,0.2418,0.288826,0.339426,0.413003,0.38399,2019,5,0.08130723
0.1047,0.1329,0.1965,0.2236,0.2093,0.229316,0.281924,0.320204,0.27685,2021,7,0.12798062
0.24105,0.2726,0.2857,0.30125,0.2933,0.269411,0.34406,0.374571,0.316725,2023,6,0.12611473
0.2032,0.2338,0.2644,0.2835,0.3074,0.099888,0.306908,0.191655,0.131898,2023,1,0.08542802
0.17855,0.2156,0.2582,0.2789,0.28035,0.166025,0.282708,0.312765,0.26794,2023,10,0.11582803
0.1061,0.1736,0.3176,0.3646,0.362,0.47958,0.55812,0.427935,0.324549,2023,8,0.14594132
0.15305,0.198,0.26955,0.29675,0.3142,0.209008,0.292745,0.376056,0.328578,2020,3,0.10306253
0.1897,0.2349,0.2762,0.2829,0.2774,0.169215,0.249625,0.263678,0.227171,2023,11,0.10561524
0.18285,0.2189,0.2594,0.2786,0.2757,0.171209,0.276671,0.314718,0.25386,2019,10,0.1376496
0.1489,0.1987,0.31375,0.35205,0.35055,0.144671,0.350303,0.266221,0.200235,2023,10,0.11078695
0.37415,0.3857,0.3632,0.3675,0.3499,0.34945,0.402003,0.322679,0.263073,2019,10,0.12408022
0.21405,0.2499,0.2812,0.2994,0.3072,0.185055,0.300748,0.356325,0.304735,2020,4,0.073502235
0.33545,0.36475,0.36135,0.3761,0.35255,0.269948,0.33108,0.38828,0.333858,2021,7,0.11664408
0.0957,0.13425,0.21515,0.2305,0.24085,0.212115,0.264393,0.317688,0.26079,2021,12,0.106072895
0.21225,0.23295,0.2422,0.2537,0.2699,0.103806,0.248168,0.201101,0.152811,2019,1,0.087516345
0.20525,0.23235,0.25035,0.2689,0.2929,0.185935,0.282694,0.367751,0.316629,2021,2,0.085888475
0.31725,0.33555,0.3329,0.3414,0.34495,0.50103,0.625041,0.336663,0.231173,2019,3,0.089722745
0.1441,0.19005,0.31535,0.34815,0.3605,0.162313,0.332153,0.288895,0.245528,2020,2,0.09819875
0.0333,0.082,0.228,0.2971,0.3021,0.038989,0.339041,0.124596,0.061883,2022,3,0.08601215
0.2839,0.3167,0.3206,0.3341,0.3102,0.270401,0.359529,0.394481,0.336401,2021,7,0.12426209
0.316,0.3463,0.3453,0.3578,0.3362,0.186568,0.312091,0.286049,0.19215,2019,8,0.15529892
0.2124,0.2535,0.274,0.2941,0.2861,0.248621,0.361963,0.350083,0.289665,2023,8,0.13932656
0.1791,0.20585,0.22955,0.24735,0.2677,0.441671,0.561778,0.436969,0.33966,2019,2,0.09539148
0.1324,0.1932,0.2917,0.3208,0.2946,0.229151,0.349161,0.356848,0.283148,2022,7,0.1905559
0.2507,0.2698,0.2728,0.2821,0.2945,0.168266,0.297118,0.28257,0.247068,2022,1,0.12238666
